N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 4.226810e-02 4.226816e-02 4.226810e-02 4.226810e-02 
8 384 1.080768e+01 5.160330e-05 5.156816e-05 5.160326e-05 5.160330e-05 
12 864 1.494877e+01 2.533588e-07 2.175397e-07 2.533237e-07 2.533588e-07 
16 1536 1.881726e+01 2.869436e-09 3.294754e-08 2.834301e-09 2.869397e-09 
20 2400 2.249492e+01 4.175244e-11 3.577351e-08 6.617713e-12 4.171985e-11 
24 3456 2.602732e+01 6.950101e-13 3.581459e-08 3.444109e-11 6.600633e-13 
28 4704 2.944333e+01 1.217249e-14 3.581525e-08 3.512196e-11 2.513031e-14 
32 6144 3.276276e+01 1.963305e-16 3.581525e-08 3.513433e-11 3.416151e-14 
36 7776 3.600000e+01 4.711933e-15 3.581524e-08 3.513198e-11 2.846793e-14 
40 9600 3.916593e+01 9.816527e-16 3.581524e-08 3.513139e-11 3.200188e-14 
44 11616 4.226907e+01 1.963305e-16 3.581524e-08 3.513355e-11 2.944958e-14 
