N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 7.669757e-02 7.669736e-02 7.669757e-02 7.669757e-02 
8 384 1.080768e+01 1.834682e-03 1.834494e-03 1.834682e-03 1.834682e-03 
12 864 1.494877e+01 4.467031e-05 4.449042e-05 4.467013e-05 4.467031e-05 
16 1536 1.881726e+01 1.124672e-06 4.473548e-06 1.124496e-06 1.124673e-06 
20 2400 2.249492e+01 2.889256e-08 4.468410e-06 2.871684e-08 2.889354e-08 
24 3456 2.602732e+01 7.502338e-10 4.468438e-06 4.375003e-09 7.512254e-10 
28 4704 2.944333e+01 1.958456e-11 4.468438e-06 4.375722e-09 2.057532e-11 
32 6144 3.276276e+01 5.562217e-13 4.468438e-06 4.375718e-09 2.652767e-12 
36 7776 3.600000e+01 8.670842e-14 4.468438e-06 4.375725e-09 2.716494e-12 
40 9600 3.916593e+01 7.416290e-14 4.468438e-06 4.375712e-09 2.702949e-12 
44 11616 4.226907e+01 7.382983e-14 4.468438e-06 4.375715e-09 2.681411e-12 
