N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 5.048884e-02 5.048885e-02 5.048884e-02 5.048884e-02 
8 384 1.080768e+01 5.385225e-05 5.379895e-05 5.385220e-05 5.385225e-05 
12 864 1.494877e+01 8.213301e-08 2.842396e-08 8.208032e-08 8.213297e-08 
16 1536 1.881726e+01 4.099825e-10 5.330421e-08 3.572823e-10 4.099315e-10 
20 2400 2.249492e+01 4.431916e-12 5.370753e-08 4.828418e-11 4.385533e-12 
24 3456 2.602732e+01 6.049435e-14 5.371194e-08 5.263364e-11 3.546220e-14 
28 4704 2.944333e+01 1.595186e-15 5.371196e-08 5.268628e-11 7.804139e-14 
32 6144 3.276276e+01 2.086012e-15 5.371193e-08 5.269610e-11 6.613885e-14 
36 7776 3.600000e+01 3.313078e-15 5.371190e-08 5.269008e-11 9.558843e-14 
40 9600 3.916593e+01 3.681198e-16 5.371193e-08 5.269119e-11 3.767092e-14 
44 11616 4.226907e+01 1.227066e-16 5.371190e-08 5.269045e-11 4.515602e-14 
